9.581654	12
9.749013	50
9.565103	0
9.520201	62
9.631569	32
9.525115	21
9.608808	41
9.581463	91
9.597004	43
9.465696	89
9.654761	7
9.498731	8
9.642211	98
9.780615	11
9.487618	88
9.586195	77
9.677903	31
9.611719	82
9.651962	68
9.610420	75
9.563578	28
9.619020	94
9.626271	10
9.563692	75
9.638782	76
9.664842	52
9.693398	54
9.654900	48
9.586785	7
9.423738	41
9.487156	63
9.605166	70
9.466303	28
9.625358	69
9.594525	22
9.750357	85
9.324432	37
9.682162	9
9.562577	38
9.602096	42
9.549825	6
9.442037	96
9.548521	47
9.651251	24
9.600830	1
9.678562	75
9.582813	40
9.662683	17
9.648256	81
9.559455	52
9.580272	0
9.570104	36
9.633485	41
9.666313	33
9.623462	72
9.587585	39
9.672540	44
9.665313	31
9.557322	81
9.748760	57
9.448510	86
9.732736	17
9.390354	82
9.566697	46
9.646304	95
9.580781	27
9.690456	94
9.482326	81
9.594493	22
9.610083	59
9.652291	77
9.697231	79
9.566503	10
9.500626	43
9.601352	59
9.693291	38
9.597280	8
9.541117	74
9.479482	65
9.671777	43
9.670077	74
9.757806	56
9.503750	94
9.664799	99
9.600830	5
9.599559	77
9.715917	35
9.566571	7
9.628058	72
9.630850	39
9.719364	57
9.590026	50
9.697580	57
9.592305	17
9.415757	8
9.644055	95
9.443962	59
9.689865	30
9.517609	93
9.618827	72
