0105032 (0, 0) (1, 0) (0, 2) False
0105041 (0, 0) (1, 0) (0, 3) False
0105042 (0, 0) (1, 0) (0, 3) False
0105051 (0, 0) (1, 0) (1, 0) False
0105052 (0, 0) (1, 0) (1, 0) False
0105061 (0, 0) (1, 0) (1, 1) False
0105062 (0, 0) (1, 0) (1, 1) False
0105071 (0, 0) (1, 0) (1, 2) False
0105072 (0, 0) (1, 0) (1, 2) False
0105081 (0, 0) (1, 0) (1, 3) False
0105082 (0, 0) (1, 0) (1, 3) False
0105091 (0, 0) (1, 0) (2, 0) True
0105092 (0, 0) (1, 0) (2, 0) True
0105101 (0, 0) (1, 0) (2, 1) False
0105102 (0, 0) (1, 0) (2, 1) False
0105111 (0, 0) (1, 0) (2, 2) False
0105112 (0, 0) (1, 0) (2, 2) False
0105121 (0, 0) (1, 0) (2, 3) False
0105122 (0, 0) (1, 0) (2, 3) False
0105131 (0, 0) (1, 0) (3, 0) True
0105132 (0, 0) (1, 0) (3, 0) True
0105141 (0, 0) (1, 0) (3, 1) False
0105142 (0, 0) (1, 0) (3, 1) False
0105151 (0, 0) (1, 0) (3, 2) False
0105152 (0, 0) (1, 0) (3, 2) False
0105161 (0, 0) (1, 0) (3, 3) False
0105162 (0, 0) (1, 0) (3, 3) False
0106011 (0, 0) (1, 1) (0, 0) True
0106012 (0, 0) (1, 1) (0, 0) True
0106021 (0, 0) (1, 1) (0, 1) False
0106022 (0, 0) (1, 1) (0, 1) False
0106031 (0, 0) (1, 1) (0, 2) False
0106032 (0, 0) (1, 1) (0, 2) False
0106041 (0, 0) (1, 1) (0, 3) False
0106042 (0, 0) (1, 1) (0, 3) False
0106051 (0, 0) (1, 1) (1, 0) False
0106052 (0, 0) (1, 1) (1, 0) False
0106061 (0, 0) (1, 1) (1, 1) False
0106062 (0, 0) (1, 1) (1, 1) False
0106071 (0, 0) (1, 1) (1, 2) False
0106072 (0, 0) (1, 1) (1, 2) False
0106081 (0, 0) (1, 1) (1, 3) False
0106082 (0, 0) (1, 1) (1, 3) False
0106091 (0, 0) (1, 1) (2, 0) False
0106092 (0, 0) (1, 1) (2, 0) False
0106101 (0, 0) (1, 1) (2, 1) False
0106102 (0, 0) (1, 1) (2, 1) False
0106111 (0, 0) (1, 1) (2, 2) False
0106112 (0, 0) (1, 1) (2, 2) False
0106121 (0, 0) (1, 1) (2, 3) False
0106122 (0, 0) (1, 1) (2, 3) False
0106131 (0, 0) (1, 1) (3, 0) False
0106132 (0, 0) (1, 1) (3, 0) False
0106141 (0, 0) (1, 1) (3, 1) False
0106142 (0, 0) (1, 1) (3, 1) False
0106151 (0, 0) (1, 1) (3, 2) False
0106152 (0, 0) (1, 1) (3, 2) False
0106161 (0, 0) (1, 1) (3, 3) False
0106162 (0, 0) (1, 1) (3, 3) False
0107011 (0, 0) (1, 2) (0, 0) False
0107012 (0, 0) (1, 2) (0, 0) False
0107021 (0, 0) (1, 2) (0, 1) False
0107022 (0, 0) (1, 2) (0, 1) False
0107031 (0, 0) (1, 2) (0, 2) False
0107032 (0, 0) (1, 2) (0, 2) False
0107041 (0, 0) (1, 2) (0, 3) False
0107042 (0, 0) (1, 2) (0, 3) False
0107051 (0, 0) (1, 2) (1, 0) False
0107052 (0, 0) (1, 2) (1, 0) False
0107061 (0, 0) (1, 2) (1, 1) False
0107062 (0, 0) (1, 2) (1, 1) False
0107071 (0, 0) (1, 2) (1, 2) False
0107072 (0, 0) (1, 2) (1, 2) False
0107081 (0, 0) (1, 2) (1, 3) False
0107082 (0, 0) (1, 2) (1, 3) False
0107091 (0, 0) (1, 2) (2, 0) False
0107092 (0, 0) (1, 2) (2, 0) False
0107101 (0, 0) (1, 2) (2, 1) False
0107102 (0, 0) (1, 2) (2, 1) False
0107111 (0, 0) (1, 2) (2, 2) False
0107112 (0, 0) (1, 2) (2, 2) False
0107121 (0, 0) (1, 2) (2, 3) False
0107122 (0, 0) (1, 2) (2, 3) False
0107131 (0, 0) (1, 2) (3, 0) False
0107132 (0, 0) (1, 2) (3, 0) False
0107141 (0, 0) (1, 2) (3, 1) False
0107142 (0, 0) (1, 2) (3, 1) False
